WOS_number,doc_type,authors,title,source,doi,publication_year,author_keywords,email
WOS:000493047700015,S,"Gunawan, H; Bressers, H; Megantara, EN; Kurnani, TBA; Hoppe, T; Mohlakoana, N; Parikesit",A governance of climate change mitigation in transport sector and selected co-benefits in Indonesia: the case of Bandung City,CONFERENCE ON SUSTAINABILITY SCIENCE 2018,10.1088/1755-1315/306/1/012015,2019,climate change mitigation; co-benefits; greenhouse gas (GHG); governance,
KJD:ART002513266,J,"이승호; Lim, Young-Ah; Sang, Kwon， Oh",The Economic Incentives of Achieving the Agricultural Greenhouse Gas Mitigation Target of the 2030 Reduction Roadmap of Korea,Journal of Rural Development,10.36464/jrd.2019.42.3.004,2019,Agricultural Greenhouse Gas; 2030 Greenhouse Gas Mitigation Roadmap; Agricultural Sector Model,
WOS:000485125300012,S,"Tassopoulou, M; Verde, N; Mallinis, G; Georgiadis, H; Kaimaris, D; Patias, P",Demonstrating the potential of Remote Sensing to support Sustainable Development Goals implementation: Case studies over Greece,SEVENTH INTERNATIONAL CONFERENCE ON REMOTE SENSING AND GEOINFORMATION OF THE ENVIRONMENT (RSCY2019),10.1117/12.2533634,2019,Earth Observation; Essential Variables; SDG; Indicators; Forest; Marine,
WOS:000482103500200,S,"Szewranski, S; Kachniarz, M; Sylla, M; Swiader, M; Tokarczyk-Dorociak, K",SPATIO-TEMPORAL ASSESSMENT OF ENERGY CONSUMPTION AND SOCIO-ECONOMIC DRIVERS IN RURAL AREAS IN POLAND,18TH INTERNATIONAL SCIENTIFIC CONFERENCE ENGINEERING FOR RURAL DEVELOPMENT,10.22616/ERDev2019.18.N093,2019,energy clusters; rural areas; location intelligence,
WOS:000481478900008,J,"Bistline, J; James, R; Sowder, A","Technology, Policy, and Market Drivers of (and Barriers to) Advanced Nuclear Reactor Deployment in the United States After 2030",NUCLEAR TECHNOLOGY,10.1080/00295450.2019.1574119,2019,Advanced nuclear reactors; energy-economic modeling; electric power sector; deep decarbonization; energy policy,
WOS:000478561200044,S,"Rybak, A; Rybak, A",Analysis of the Strategy for the Energy Policy of Poland until 2030 implementation effects in the aspect of environmental protection taking into account the energy security of Poland,MINING OF SUSTAINABLE DEVELOPMENT,10.1088/1755-1315/261/1/012044,2019,,
KJD:ART002480443,J,ChungWooYang,National Policies and Developmental Strategy of Furniture Industry of Korea Corresponding the Climate Change,Journal of the Korea furniture Society,,2019,climate change; greenhouse gas inventory; emissions trading scheme (ETS); GEMBO program; harvested wood products (HWP); furniture industry,
WOS:000475314600004,J,"Gray, JM; Bishop, TFA",Mapping change in key soil properties due to climate change over south-eastern Australia,SOIL RESEARCH,10.1071/SR18139,2019,climate change; digital soil mapping; nutrients; pH; soil organic carbon,
WOS:000474933000008,S,"Islas, JM; Grande, GK; Poli, FLM",Scenarios of Palm-Oil Biodiesel in the Mexican Transportation Sector,BY-PRODUCTS OF PALM TREES AND THEIR APPLICATIONS,10.21741/9781644900178-8,2019,palm-oil biodiesel; scenarios; Mexican transportation sector; GHG mitigation; cost-benefit analysis,
WOS:000474776000088,S,"Pirvu, M; Rovinaru, M; Rovinaru, F",ROMANIA'S ENERGY POLICY: CHANGES IN THE APPROACH OF THE NEW RENEWABLE ENERGY STRATEGY FOR 2030,INTERDISCIPLINARY MANAGEMENT RESEARCH XV (IMR),,2019,renewable energy policy strategy,
WOS:000473549100031,S,"Makosko, AA; Matesheva, AV; Aksenov, VA; Apatsev, VI",On the trends of long-range air pollution in the territories of the Russian Federation in the 21st century,"TURBULENCE, ATMOSPHERE AND CLIMATE DYNAMICS",10.1088/1755-1315/231/1/012032,2019,,
WOS:000472788600337,S,"Zhang, FQ; Feng, JS; Zheng, K; Zhang, JF",Research on Long-term Nuclear Power Development Scenario in China under the Background of Re-electrification,4TH INTERNATIONAL CONFERENCE ON ADVANCES IN ENERGY RESOURCES AND ENVIRONMENT ENGINEERING,10.1088/1755-1315/237/6/062029,2019,,
WOS:000472769200036,S,"Stoltmann, A; Jaskolski, M; Bucko, P",Optimization of combined heat and power (CHP) market allocation: The case of Poland,INTERNATIONAL CONFERENCE ON THE SUSTAINABLE ENERGY AND ENVIRONMENTAL DEVELOPMENT,10.1088/1755-1315/214/1/012036,2019,,
WOS:000471031703116,S,"Ling-Chin, J; Taylor, W; Davidson, P; Reay, D; Tassou, S; Roskilly, AP",UK policies and industrial stakeholder perspectives on building thermal performance,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.948,2019,Energy performance; thermal performance; building; stakeholder perspective; national policy,
WOS:000471031704009,S,"Yang, Q; Wei, ZY; Zhou, HW; Li, JS; Yang, HP; Chen, HP",Greenhouse Gas Emission Analysis of Biomass Moving-bed Pyrolytic Polygeneration Systems based on Aspen Plus and Hybrid LCA in China,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.890,2019,system simulation; pyrolytic polygeneration; greenhouse gas emission,
WOS:000471031704021,S,"Yang, X; Xi, XQ; Lin, WQ; Guo, S",Effect of China's energy conservation efforts on reducing health damage,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.878,2019,Energy conservation; Health damage; Bottom-up model; Co-benefits,
WOS:000471031704035,S,"Liao, CY; Wang, SG; Fang, JK; Zheng, HB; Liu, JF; Zhang, YY",Driving forces of provincial-level CO2 emissions in China's power sector based on LMDI method,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.860,2019,Power sector; CO2 emissions; logarithmic mean Divisia index; driving force,
WOS:000471031704057,S,"Huang, H; Roland-Holst, D; Springer, CH; Wang, C",How Will an Emissions Trading System Affect Household Income and Social Equity? A CGE-Based Case Study of China,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.838,2019,ETS; Social equity; CGE model; coal employment,
WOS:000471031704063,S,"Huang, H; Hui, JX; Cai, WJ; Wang, C",Optimizing the Power Generation Structure for Low Carbon Development Target in China: A Comparison Study of Endogenous and Exogenous Technology Improvements,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.832,2019,power sector; technology parameters; learning curve; carbon dioxide emissions,
WOS:000471031704077,S,"Kato, E; Kurosawa, A",Evaluation of Japanese energy system toward 2050 with TIMES-Japan - deep decarbonization pathways,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.818,2019,energy system; low carbon transition; negative emissions technologies,
WOS:000471031704092,S,"Haiges, R; Wang, YD; Ghoshray, A; Roskilly, AP",Unconventional fuel pathways for decarbonizing the electrical power generation in Malaysia by 2050,INNOVATIVE SOLUTIONS FOR ENERGY TRANSITIONS,10.1016/j.egypro.2019.01.803,2019,Least cost optimization; Low carbon power sector; Malaysia; Nuclear energy; Renewable energy; The Integrated MARKAL-EFOM System (TIMES) model,
WOS:000470998600125,S,"de Simon-Martin, M; de la Puente-Gila, A; Borge-Diez, D; Ciria-Garces, T; Gonzalez-Martinez, A",Wind energy planning for a sustainable transition to a decarbonized generation scenario based on the opportunity cost of the wind energy: Spanish Iberian Peninsula as case study,"TECHNOLOGIES AND MATERIALS FOR RENEWABLE ENERGY, ENVIRONMENT AND SUSTAINABILITY (TMREES)",10.1016/j.egypro.2018.11.282,2019,Energy Planning; Wind Energy; Repowering; Opportunity Cost; Wind Resource Valorization,
WOS:000471144100008,S,"Setiawan, IC; Indarto; Deendarlianto",Reducing CO2 Emissions from Land Transport Sector in Indonesia: Case Study Automobiles Sector,"2ND FORUM IN RESEARCH, SCIENCE, AND TECHNOLOGY",10.1088/1742-6596/1167/1/012008,2019,,
WOS:000471294000112,S,"Gupta, A; Paul, A",Carbon capture and sequestration potential in India: A comprehensive review,2ND INTERNATIONAL CONFERENCE ON ENERGY AND POWER (ICEP2018),10.1016/j.egypro.2019.02.148,2019,Carbon dioxide emission and climate; Carbon capture and storage/sequestration (CCS); Global and India's concerns,
WOS:000470995300025,S,"Hidayatno, A; Destyanto, AR; Noor, ST",Conceptualizing Carbon Emissions from Energy Utilization in Indonesia's Industrial Sector,5TH INTERNATIONAL CONFERENCE ON POWER AND ENERGY SYSTEMS ENGINEERING (CPESE 2018),10.1016/j.egypro.2018.11.118,2019,Industrial carbon emission; system dynamic; energy; systems,
WOS:000470140600003,J,"Hirvonen, J; Jokisalo, J; Heljo, J; Kosonen, R",Towards the EU emissions targets of 2050: optimal energy renovation measures of Finnish apartment buildings,INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY,10.1080/14786451.2018.1559164,2019,Cost-optimal renovation; energy performance; multi-objective optimisation; greenhouse gas emissions; apartment building,
WOS:000469878900004,J,"Malla, S; Timilsina, GR",Assessment of long-term sustainable end-use energy demand in Romania,INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY,10.1080/14786451.2018.1482301,2019,End-use energy demand; energy modelling; energy-consuming sector; sustainability; Romania,
WOS:000468769100002,J,"Ma, YY; Zhang, ZX; Zhang, FF; Liu, ZY",How might Shandong achieve the 2030 CO2 emissions target? A system dynamics analysis from the perspective of energy supply-side structural reform in China,INTERNATIONAL JOURNAL OF GLOBAL WARMING,10.1504/IJGW.2019.099801,2019,energy supply-side structural reform; CO2 emissions reduction; energy consumption; economic growth; system dynamics model,
WOS:000465448800021,J,"Pinedo-Alvarez, C; Renteria-Villalobos, M; Aguilar-Soto, V; Vega-Mares, JH; Melgoza-Castillo, A",Distribution dynamics of Picea chihuahuana Martinez populations under different climate change scenarios in Mexico,GLOBAL ECOLOGY AND CONSERVATION,10.1016/j.gecco.2019.e00559,2019,Maxent; Climate change; Species distribution modeling; Chihuahua spruce,
WOS:000467463800022,S,"Eder, L; Filimonova, I; Nemov, V; Komarova, A; Sablin, K",Ecological aspects of economical development: issues of forecast greenhouse gas emissions in road transport in Europe and regions of Russia,2018 INTERNATIONAL CONFERENCE ON RENEWABLE ENERGY AND ENVIRONMENT ENGINEERING (REEE 2018),10.1051/e3sconf/20198003010,2019,,
WOS:000467051900007,J,"Choong, JE; Onn, CC; Yusoff, S; Mohd, NS",Life Cycle Assessment of Waste-to-Energy: Energy Recovery from Wood Waste in Malaysia,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,10.15244/pjoes/93925,2019,waste-to-energy; solid waste; life cycle assessment; biomass fired power plant; greenhouse gases,
KJD:ART002455157,J,"PARK, CHAN; Hanaoka, Tatsuya，; Masui, Toshihiko，; Lee, DongKun; Jung, Tae Yong","Impacts of Climate Change, Income Change, and Mitigation Measures on CO2 Emission in the Korean Residential Sector in 2050",Journal of Climate Change Research,10.15531/KSCCR.2019.10.1.9,2019,AIM/Enduse; Bottom-up approach; Socio-economic scenario; RCP scenario; co-benefit,
WOS:000462331800001,J,"Hermanto, A; Narindro, L",New geothermal law and its implications for geothermal development in Indonesia,INTERNATIONAL JOURNAL OF LAW AND MANAGEMENT,10.1108/IJLMA-10-2017-0248,2019,Indonesia; Geothermal development; Geothermal management; New geothermal law,
WOS:000462638900011,J,"Cetkovic, S; Buzogany, A",The Political Economy of EU Climate and Energy Policies in Central and Eastern Europe Revisited: Shifting Coalitions and Prospects for Clean Energy Transitions,POLITICS AND GOVERNANCE,10.17645/pag.v7i1.1786,2019,Central and Eastern Europe; Council of Ministers; domestic interests; energy transition; Energy Union; EU climate policy; EU energy; illiberalism; Visegrad states,
WOS:000462368400001,J,"Sayadi, A; Beydokhti, NT; Najarchi, M; Najafizadeh, MM","Investigation into the Effects of Climatic Change on Temperature, Rainfall, and Runoff of the Doroudzan Catchment, Iran, Using the Ensemble Approach of CMIP3 Climate Models",ADVANCES IN METEOROLOGY,10.1155/2019/6357912,2019,,
WOS:000461981900017,J,"Li, W; Zhang, HZ; Zhang, S",The Impact of Energy De-Subsidization Policy in 2030: A Dynamic CGE Model in China,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,10.15244/pjoes/89987,2019,energy de-subsidization policy; China; computable general equilibrium (CGE) model; price-gap approach; energy subsidy,
WOS:000461787900003,J,"Glynn, J; Gargiulo, M; Chiodi, A; Deane, P; Rogan, F; Gallachoir, BO",Zero carbon energy system pathways for Ireland consistent with the Paris Agreement,CLIMATE POLICY,10.1080/14693062.2018.1464893,2019,Carbon budgets; climate change; climate mitigation; decarbonization; equity; ETSAP; integrated energy system models; macroeconomic feedback; Paris Agreement; TIMES-MACRO,
WOS:000461800200095,J,"Zhou, JG; Jin, BL",Carbon Allowance Allocation on Chinese Industrial Sectors in 2030 under Multiple Indicators,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,10.15244/pjoes/90599,2019,industrial sectors; super-SBM model; entropy weighting method; carbon emission allowance,
WOS:000460938500009,J,"Nhung, TT; Vo, PV; Nghi, VV; Bang, HQ","Salt intrusion adaptation measures for sustainable agricultural development under climate change effects: A case of Ca Mau Peninsula, Vietnam",CLIMATE RISK MANAGEMENT,10.1016/j.crm.2018.12.002,2019,Adaptation; Crops; Mitigation; Production; Salt tolerance limit,
WOS:000461184100057,S,"Tica, G",Mitigation of climate change in terms of the use of renewable energy sources in Bosnia and Herzegovina and mitigation scenarios defined,INTERNATIONAL CONFERENCE ON APPLIED SCIENCES,10.1088/1757-899X/477/1/012057,2019,,
KJD:ART002438260,J,"Song, Dongsoo",The renovation of korean environmental legislation on the new UN framework convention on climate change,Public Land Law Review,,2019,Paris Agreement; UNFCCC; climate change; Kyoto Protocol; NDC; new climate regime; maket-based mechanism,
WOS:000460320800010,J,"Martinez-Rodriguez, MC; Campos-Villegas, LE; Castillo-Monroy, JJ","Baseline calculation of greenhouse gases emissions and future projections for the transport sector in the state of Veracruz, Mexico",TECNOLOGIA EN MARCHA,10.8845/tm.v32.i1.4123,2019,Energy; global warming; ecological economics; air pollution; environmental regulation,
WOS:000459226500052,J,"Dabanli, I","Temperature difference relationship among precipitation, dry days, and spells in Turkey",THEORETICAL AND APPLIED CLIMATOLOGY,10.1007/s00704-018-2649-4,2019,,
WOS:000458217800009,J,"Carvajal, PE; Li, FGN; Soria, R; Cronin, J; Anandarajah, G; Mulugetta, Y","Large hydropower, decarbonisation and climate change uncertainty: Modelling power sector pathways for Ecuador",ENERGY STRATEGY REVIEWS,10.1016/j.esr.2018.12.008,2019,Hydropower; Energy modelling; NDC; Climate change uncertainty; Ecuador,
WOS:000457573300006,J,"Prentice, J",Non-strenuous Effort? - The European Union's Effort Sharing and LULUCF Regulations for the Period 2021-2030,ENVIRONMENTAL AND PLANNING LAW JOURNAL,,2019,,
WOS:000457127300150,J,"Cheng, WJ; Mo, DX; Tian, YJ; Xu, WQ; Xie, KC",Research on the Composite Index of the Modern Chinese Energy System,SUSTAINABILITY,10.3390/su11010150,2019,modern Chinese energy system; analytic hierarchy process; index,
WOS:000457127300011,J,"Han, D; Qiao, RL; Ma, XM","Optimization of Land-Use Structure Based on the Trade-Off Between Carbon Emission Targets and Economic Development in Shenzhen, China",SUSTAINABILITY,10.3390/su11010011,2019,carbon emissions; multi-objective linear programming (MOLP); optimization of land-use structure; Shenzhen; China,
WOS:000457127300003,J,"Xiao, Y; Xiong, QL; Pan, KW",What Is Left for Our Next Generation? Integrating Ecosystem Services into Regional Policy Planning in the Three Gorges Reservoir Area of China,SUSTAINABILITY,10.3390/su11010003,2019,ecological policy; ecosystem services models; Land use/Land cover; scenario analysis,
WOS:000456178400008,J,"Salman, B; Nomanbhay, S; Foo, DCY",Carbon emissions pinch analysis (CEPA) for energy sector planning in Nigeria,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,10.1007/s10098-018-1620-5,2019,Carbon emissions reduction; Energy planning; Power sector planning,
WOS:000456055500009,J,"Fulli, G; Masera, M; Spisto, A; Vitiello, S",A Change Is Coming How Regulation and Innovation Are Reshaping the European Union's Electricity Markets,IEEE POWER & ENERGY MAGAZINE,10.1109/MPE.2018.2872303,2019,,
WOS:000455694300023,J,"Li, N; Chen, WY",Energy-water nexus in China's energy bases: From the Paris agreement to the Well Below 2 Degrees target,ENERGY,10.1016/j.energy.2018.10.039,2019,Energy bases; Energy-water nexus; NDC; Well Below 2 Degrees; China TIMES-W,
WOS:000455694300084,J,"Ruhnau, O; Bannik, S; Otten, S; Praktiknjo, A; Robinius, M",Direct or indirect electrification? A review of heat generation and road transport decarbonisation scenarios for Germany 2050,ENERGY,10.1016/j.energy.2018.10.114,2019,Energy transition; Energy scenarios; Electrification; Decarbonisation; Energy end-use,
WOS:000455694300108,J,"Mondal, MAH; Ringler, C; Al-Riffai, P; Eldidi, H; Breisinger, C; Wiebelt, M",Long-term optimization of Egypt's power sector: Policy implications,ENERGY,10.1016/j.energy.2018.10.158,2019,Energy policy; Optimization; Climate change; Energy security; TIMES model,
WOS:000454999000017,J,"Yu, Y; Du, Y",Impact of technological innovation on CO2 emissions and emissions trend prediction on 'New Normal' economy in China,ATMOSPHERIC POLLUTION RESEARCH,10.1016/j.apr.2018.07.005,2019,CO2 emissions; Technological innovation; Scenario analysis; Logistic equation; Prediction,
WOS:000454376900053,J,"Victoria, M; Gallego-Castillo, C",Hourly-resolution analysis of electricity decarbonization in Spain (2017-2030),APPLIED ENERGY,10.1016/j.apenergy.2018.10.055,2019,Energy modeling; Energy analysis; 100% renewable power system; Renewable grid integration; Time series analysis; Spain,
WOS:000453642600001,J,"Ma, JJ; Du, G; Xie, BC",CO2 emission changes of China's power generation system: Input-output subsystem analysis,ENERGY POLICY,10.1016/j.enpol.2018.09.030,2019,Power sector; Structural decomposition; Input-output subsystem,
WOS:000453642600011,J,"Valderrama, ME; Monroy, AIC; Valencia, EB",Challenges in greenhouse gas mitigation in developing countries: A case study of the Colombian transport sector,ENERGY POLICY,10.1016/j.enpol.2018.09.039,2019,CO2 reduction; Climate change; Developing economies; Urban mobility; Freight transport; Co-benefits,
WOS:000453642600033,J,"Shawhan, DL; Picciano, PD",Costs and benefits of saving unprofitable generators: A simulation case study for US coal and nuclear power plants,ENERGY POLICY,10.1016/j.enpol.2018.07.040,2019,Simulation modeling; Electric power sector; Coal and nuclear subsidy; Cost-benefit analysis; Premature mortality; Environmental damage,
WOS:000449310700020,J,"Ma, HT; Sun, W; Wang, SJ; Kang, L","Structural contribution and scenario simulation of highway passenger transit carbon emissions in the Beijing-Tianjin-Hebei metropolitan region, China",RESOURCES CONSERVATION AND RECYCLING,10.1016/j.resconrec.2018.09.028,2019,Highway passenger transit; Carbon emissions; Spatio-temporal change; LEAP model; Scenario simulation; BTH region,
WOS:000451754200051,J,"Nematchoua, MK; Yvon, A; Kalameu, O; Asadi, S; Choudhary, R; Reiter, S",Impact of climate change on demands for heating and cooling energy in hospitals: An in-depth case study of six islands located in the Indian Ocean region,SUSTAINABLE CITIES AND SOCIETY,10.1016/j.scs.2018.10.031,2019,Climate change; Heating and cooling energy; Hospitals; Islands; Indian Ocean,
WOS:000447176800008,J,"Graham, P; Rawal, R",Achieving the 2 degrees C goal: the potential of India's building sector,BUILDING RESEARCH AND INFORMATION,10.1080/09613218.2018.1495803,2019,building stock; buildings; climate change; climate policy; CO2 reduction; decarbonization; demand reduction; energy demand; public policy; India,
WOS:000453896100016,J,"Patrizio, P; Leduc, S; Kraxner, F; Fuss, S; Kindermann, G; Mesfun, S; Spokas, K; Mendoza, A; Mac Dowell, N; Wetterlund, E; Lundgren, J; Dotzauer, E; Yowargana, P; Obersteiner, M",Reducing US Coal Emissions Can Boost Employment,JOULE,10.1016/j.joule.2018.10.004,2018,,
WOS:000455171600004,J,"Li, W; Gao, SB",Prospective on energy related carbon emissions peak integrating optimized intelligent algorithm with dry process technique application for China's cement industry,ENERGY,10.1016/j.energy.2018.09.152,2018,Carbon emissions peak; Cement industry; Scenario analysis; Back Propagation Neural Network; Particle Swarm Optimization; The second generation of new dry cement technology systems,
WOS:000451356200023,J,"Blanco, H; Nijs, W; Ruf, J; Faaij, A",Potential of Power-to-Methane in the EU energy transition to a low carbon system using cost optimization,APPLIED ENERGY,10.1016/j.apenergy.2018.08.027,2018,TIMES; Energy system model; Power-to-gas; Hydrogen; CO2 utilization; Methanation,
WOS:000451356200045,J,"Blanco, H; Nijs, W; Ruf, J; Faaij, A",Potential for hydrogen and Power-to-Liquid in a low-carbon EU energy system using cost optimization,APPLIED ENERGY,10.1016/j.apenergy.2018.09.216,2018,TIMES; Energy systems model; Power-to-X; CO2 utilization; Decarbonization,
WOS:000453112200011,J,"Matsuo, Y; Endo, S; Nagatomi, Y; Shibata, Y; Komiyama, R; Fujii, Y",A quantitative analysis of Japan's optimal power generation mix in 2050 and the role of CO2-free hydrogen,ENERGY,10.1016/j.energy.2018.09.187,2018,Power system modeling; Linear programming; Optimization; CO2 emission reduction; Hydrogen; Intermittent renewables,
WOS:000452345900004,J,"Oyewo, AS; Aghahosseini, A; Bogdanov, D; Breyer, C",Pathways to a fully sustainable electricity supply for Nigeria in the mid-term future,ENERGY CONVERSION AND MANAGEMENT,10.1016/j.enconman.2018.10.036,2018,Nigeria; Energy transition; Desalination; Photovoltaic; Energy system; Storage; Decarbonisation,
WOS:000453251400001,J,"Valade, A; Luyssaert, S; Vallet, P; Djomo, SN; Van Der Kellen, IJ; Bellassen, V",Carbon costs and benefits of France's biomass energy production targets,CARBON BALANCE AND MANAGEMENT,10.1186/s13021-018-0113-5,2018,Forest management; Renewable energy; Wood harvest; Forest stands; Carbon balance; Forest modelling; Forest growth; Wood-use; Energy substitution; Product substitution,
WOS:000448092500066,J,"Lin, BQ; Jia, ZJ",Transfer payments in emission trading markets: A perspective of rural and urban residents in China,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2018.09.079,2018,Computable general equilibrium (CGE) model; Emission trading scheme (ETS); Urban population; Rural population; Transfer payments,
WOS:000445164000018,J,"Di Lorenzo, T; Cifoni, M; Fiasca, B; Di Cioccio, A; Galassi, DMP",Ecological risk assessment of pesticide mixtures in the alluvial aquifers of central Italy: Toward more realistic scenarios for risk mitigation,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2018.06.345,2018,Groundwater; Contamination; Water Framework Directive; Groundwater Daughter Directive; Stygobionts,
WOS:000456907400079,J,"Li, CL; Leal, W; Wang, J; Yin, J; Fedoruk, M; Bao, G; Bao, YH; Yin, S; Yu, S; Hu, RC",An assessment of the impacts of climate extremes on the vegetation in Mongolian Plateau: Using a scenarios-based analysis to support regional adaptation and mitigation options,ECOLOGICAL INDICATORS,10.1016/j.ecolind.2018.08.031,2018,Normalized difference vegetation index (NDVI); Climate extremes; Greenhouse gas (GHG) emission; Scenarios-based analysis; Adaptation and mitigation options; Mongolian Plateau (MP),
WOS:000455358300156,J,"Laso, J; Hoehn, D; Margallo, M; Garcia-Herrero, I; Batlle-Bayer, L; Bala, A; Fullana-i-Palmer, P; Vazquez-Rowe, I; Irabien, A; Aldaco, R",Assessing Energy and Environmental Efficiency of the Spanish Agri-Food System Using the LCA/DEA Methodology,ENERGIES,10.3390/en11123395,2018,data envelopment analysis; energy efficiency; food loss and waste; life-cycle assessment,
WOS:000455358300114,J,"Liu, FQ; Zhao, FQ; Liu, ZW; Hao, H",China's Electric Vehicle Deployment: Energy and Greenhouse Gas Emission Impacts,ENERGIES,10.3390/en11123353,2018,electric vehicle; energy consumption; greenhouse gas emissions,
WOS:000455363600012,J,"Alvarez-de Prado, L; de Simon-Martin, M; Diez-Suarez, AM; Blanes-Peiro, JJ; Gonzalez-Martinez, A",Optimal Sizing and Location of Co-Digestion Power Plants in Spain through a GIS-Based Approach,ENVIRONMENTS,10.3390/environments5120137,2018,co-digestion; biogas; geographic information system (GIS); optimization; circular economy; site selection,
WOS:000455338100049,J,"Tokbolat, S; Karaca, F; Durdyev, S; Nazipov, F; Aidyngaliyev, I",Assessment of Green Practices in Residential Buildings: A Survey-Based Empirical Study of Residents in Kazakhstan,SUSTAINABILITY,10.3390/su10124383,2018,green building; Kazakhstan; residential buildings; construction,
WOS:000455314300037,J,"Guo, XL; Ho, MS; You, LZ; Cao, J; Fang, Y; Tu, TT; Hong, Y",Industrial Water Pollution Discharge Taxes in China: A Multi-Sector Dynamic Analysis,WATER,10.3390/w10121742,2018,water pollution policy; CGE model; industrial COD discharge; pollution discharge tax; China,
WOS:000455062300041,J,"Akumaga, U; Tarhule, A","Projected Changes in Intra-Season Rainfall Characteristics in the Niger River Basin, West Africa",ATMOSPHERE,10.3390/atmos9120497,2018,cereal yield; climate change; rainfall; rainfall characteristics; Niger Basin; West Africa,
WOS:000455158800016,J,"Gadissa, T; Nyadawa, M; Behulu, F; Mutua, B","The Effect of Climate Change on Loss of Lake Volume: Case of Sedimentation in Central Rift Valley Basin, Ethiopia",HYDROLOGY,10.3390/hydrology5040067,2018,climate change; CORDEX-Africa; lake volume; sediment; SWAT; Ziway,
WOS:000454725700035,J,"Kumar, P","Simulation of Gomti River (Lucknow City, India) future water quality under different mitigation strategies",HELIYON,10.1016/j.heliyon.2018.e01074,2018,Environmental science; Hydrology,
WOS:000454316300002,J,"Herrera-Estrada, JE; Diffenbaugh, NS; Wagner, F; Craft, A; Sheffield, J",Response of electricity sector air pollution emissions to drought conditions in the western United States,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/aaf07b,2018,drought; water-energy nexus; North America; climate impacts; climate variability; climate change mitigation; emissions,
WOS:000453499700033,J,"Srikanth, R",India's sustainable development goals - Glide path for India's power sector,ENERGY POLICY,10.1016/j.enpol.2018.08.050,2018,Energy and environment; Renewable energy; Electricity policy; Power sector reforms; Low-carbon economy,
WOS:000453786900001,J,"Pan, XZ; Chen, WY; Wang, LN; Lin, L; Li, N",The role of biomass in China's long-term mitigation toward the Paris climate goals,ENVIRONMENTAL RESEARCH LETTERS,10.1088/1748-9326/aaf06c,2018,biomass; China's mitigation; Paris agreement; BECCS; climate change,
WOS:000451841400024,J,"Guttikunda, SK; Jawahar, P",Evaluation of Particulate Pollution and Health Impacts from Planned Expansion of Coal-Fired Thermal Power Plants in India Using WRF-CAMx Modeling System,AEROSOL AND AIR QUALITY RESEARCH,10.4209/aaqr.2018.04.0134,2018,Dispersion modeling; Environmental regulations; Particulates; Sulfates; Flue gas desulfurization; CAMx; Health impacts,
WOS:000449265800049,J,"Vadenbo, C; Tonini, D; Burg, V; Astrup, TF; Thees, O; Hellweg, S",Environmental optimization of biomass use for energy under alternative future energy scenarios for Switzerland,BIOMASS & BIOENERGY,10.1016/j.biombioe.2018.10.001,2018,Biomass resource potential; Bioenergy; Consequential life cycle assessment (LCA); Energy scenarios; Environmental optimization,
WOS:000451924600015,J,"Fahmy, M; Ibrahim, Y; Hanafi, E; Barakat, M","Would LEED-UHI greenery and high albedo strategies mitigate climate change at neighborhood scale in Cairo, Egypt?",BUILDING SIMULATION,10.1007/s12273-018-0463-7,2018,urban trees; green roofs; UHI; LEED; climate change,
WOS:000447929700001,J,"Kuhn, BM",China's Commitment to the Sustainable Development Goals: An Analysis of Push and Pull Factors and Implementation Challenges,CHINESE POLITICAL SCIENCE REVIEW,10.1007/s41111-018-0108-0,2018,Sustainable development in China; Sustainable development goals; Ecological civilisation; Collaborative governance; Multi-stakeholder contributions,
WOS:000452480700006,J,"Gbangou, T; Sylla, MB; Jimoh, OD; Okhimamhe, AA","Assessment of projected agro-climatic indices over Awun river basin, Nigeria for the late twenty-first century",CLIMATIC CHANGE,10.1007/s10584-018-2295-y,2018,,
WOS:000448098600087,J,"Lucena, AFP; Hejazi, M; Vasquez-Arroyo, E; Turner, S; Koberle, AC; Daenzer, K; Rochedo, PRR; Kober, T; Cai, YX; Beach, RH; Gernaat, D; van Vuuren, DP; van der Zwaan, B",Interactions between climate change mitigation and adaptation: The case of hydropower in Brazil,ENERGY,10.1016/j.energy.2018.09.005,2018,Climate change; Mitigation; Adaptation; Energy system model; Hydropower; Brazil,
