title,authors,source,doi,d_type,publication_year,horizon_year,author_keywords,scopus_number,WOS_number,prepro_title
Adapting hydropower production to climate change: A case study of Kulekhani Hydropower Project in Nepal,"Shrestha A., Shrestha S., Tingsanchali T., Budhathoki A., Ninsawat S.",Journal of Cleaner Production,10.1016/j.jclepro.2020.123483,Article,2021,,Climate-water-energy nexus; HEC-ResSim; Hydropower; Kulekhani hydropower project; Nepal; SWAT,2-s2.0-85089942130,,adapting hydropower production to climate change a case study of kulekhani hydropower project in nepal
Analyzing the effects of economic development on the transition to cleaner production of China's energy system under uncertainty,"Suo C., Li Y.P., Nie S., Lv J., Mei H., Ma Y.",Journal of Cleaner Production,10.1016/j.jclepro.2020.123725,Article,2021,,Economic development; Energy system; Energy transition; Ensemble analysis; Sustainability; Uncertainty,2-s2.0-85090022985,,analyzing the effects of economic development on the transition to cleaner production of china s energy system under uncertainty
Assessing the economic and environmental impact of freight transport sectors in Thailand using computable general equilibrium model,"Boonpanya T., Masui T.",Journal of Cleaner Production,10.1016/j.jclepro.2020.124271,Article,2021,,CGE model; Economic impact; GHG emissions mitigation; New technology applied to freight transport sectors; Thailand freight transport sectors,2-s2.0-85092341175,,assessing the economic and environmental impact of freight transport sectors in thailand using computable general equilibrium model
"Assessment and prediction of carbon sequestration using Markov chain and InVEST model in Sariska Tiger Reserve, India","Babbar D., Areendran G., Sahana M., Sarma K., Raj K., Sivadas A.",Journal of Cleaner Production,10.1016/j.jclepro.2020.123333,Article,2021,,Biomass; Carbon pool; Carbon sequestration; Economic evaluation of carbon stock; Ecosystem services; Markov chain model,2-s2.0-85089734200,,assessment and prediction of carbon sequestration using markov chain and invest model in sariska tiger reserve india
Assessment of efficiency improvement and emission mitigation potentials in China's petroleum refining industry,"Zhao F., Fan Y., Zhang S.",Journal of Cleaner Production,10.1016/j.jclepro.2020.124482,Article,2021,,China; Energy efficiency benefits; MESSAGEix-petroleum refining model; Petroleum refining industry; Potential analysis,2-s2.0-85092155398,,assessment of efficiency improvement and emission mitigation potentials in china s petroleum refining industry
"Bioenergy technologies, uses, market and future trends with Austria as a case study","Anca-Couce A., Hochenauer C., Scharler R.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110237,Review,2021,,Austria; Bioelectricity; Bioenergy; Biofuel; Bioheat; Future trends,2-s2.0-85089467095,,bioenergy technologies uses market and future trends with austria as a case study
Can China decarbonize its electricity sector?,"Demetriou E., Hadjistassou C.",Energy Policy,10.1016/j.enpol.2020.111917,Article,2021,,100% renewables; China; CO2 levels; Coal-free electricity; Net-zero emissions,2-s2.0-85093657826,,can china decarbonize its electricity sector
Carbon emission spinch analysis (CEPA) for planning the decarbonization of the UK power sector,"Cossutta M., Foo D.C.Y., Tan R.R.",Sustainable Production and Consumption,10.1016/j.spc.2020.08.013,Article,2021,,CO2 reduction; Pinch analysis; Process integration; Targeting; Zero CO2 emissions,2-s2.0-85090360341,,carbon emission spinch analysis cepa for planning the decarbonization of the uk power sector
Climate budget tagging: Amplifying sub-national government’s role in climate planning and financing in indonesia,"Mutiara Z.Z., Krishnadianty D., Setiawan B., Haryanto J.T.",Springer Climate,10.1007/978-3-030-55536-8_13,Book Chapter,2021,,Climate finance; Climate tagging; Fiscal; Mitigation; NDC,2-s2.0-85092375298,,climate budget tagging amplifying sub national government s role in climate planning and financing in indonesia
Climate policy in the commercial sector: A survey of commercial buildings in Japan,"Onuma H., Arimura T.H.","Economics, Law, and Institutions in Asia Pacific",10.1007/978-981-15-6964-7_2,Book Chapter,2021,,Emissions trading scheme; Energy audit; Energy conservation act; Energy efficiency measures; Office building,2-s2.0-85091434462,,climate policy in the commercial sector a survey of commercial buildings in japan
Coherent or conflicting? Assessing natural gas subsidy and energy efficiency policy interactions amid CO2 emissions reduction in Malaysia electricity sector,"Babatunde K.A., Said F.F., Md Nor N.G., Begum R.A., Mahmoud M.A.",Journal of Cleaner Production,10.1016/j.jclepro.2020.123374,Article,2021,,Agent-based computational economic model; Electricity decarbonisation; Energy efficiency; Natural gas subsidy; Policy interactions,2-s2.0-85090986084,,coherent or conflicting assessing natural gas subsidy and energy efficiency policy interactions amid co2 emissions reduction in malaysia electricity sector
Double dividend of the carbon tax in Japan: Can we increase public support for carbon pricing?,"Asakawa K., Kimoto K., Takeda S., Arimura T.H.","Economics, Law, and Institutions in Asia Pacific",10.1007/978-981-15-6964-7_13,Book Chapter,2021,,,2-s2.0-85091411153,,double dividend of the carbon tax in japan can we increase public support for carbon pricing
Emission implications of electric vehicles in Japan considering energy structure transition and penetration uncertainty,"Xue M., Lin B.-L., Tsunemi K.",Journal of Cleaner Production,10.1016/j.jclepro.2020.124402,Article,2021,,Electric vehicles; Emission reduction; Greenhouse gas; Policy implications; Reactive nitrogen,2-s2.0-85091933163,,emission implications of electric vehicles in japan considering energy structure transition and penetration uncertainty
Energy assessment and greenhouse gas predictions in the automotive manufacturing industry in Iran,"Javadi P., Yeganeh B., Abbasi M., Alipourmohajer S.",Sustainable Production and Consumption,10.1016/j.spc.2020.10.014,Article,2021,,Automotive manufacturing industry; Emission prediction; Energy assessment; Greenhouse gas estimation; Purchased electricity; Radial basis function network,2-s2.0-85092893100,,energy assessment and greenhouse gas predictions in the automotive manufacturing industry in iran
Energy industrial water withdrawal under different energy development scenarios: A multi-regional approach and a case study of China,"Jia C., Yan P., Liu P., Li Z.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110224,Article,2021,,Energy base; Energy transformation; Energy water nexus; Industrial water withdrawal; Multi-regional analysis; Water stress,2-s2.0-85089684724,,energy industrial water withdrawal under different energy development scenarios a multi regional approach and a case study of china
Evolution-based CO2 emission baseline scenarios of Chinese cities in 2025,"Cui C., Wang Z., Cai B., Peng S., Wang Y., Xu C.",Applied Energy,10.1016/j.apenergy.2020.116116,Article,2021,,Chinese cities; City evolution; CO2 emissions; Emission scenario; Low-carbon development,2-s2.0-85094606525,,evolution based co2 emission baseline scenarios of chinese cities in 2025
Heat and electric vehicle flexibility in the European power system: A case study of Norwegian energy communities,"Backe S., Korpås M., Tomasgard A.",International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2020.106479,Article,2021,,Capacity expansion; Energy flexibility; Multi-energy-system modeling; Sector coupling; Stochastic programming,2-s2.0-85090346665,,heat and electric vehicle flexibility in the european power system a case study of norwegian energy communities
Implication of emission regulation on cost and tariffs of coal-based power plants in India: A system modelling approach,"Nazar R., Srinivasan S.L., Kanudia A., Asundi J.",Energy Policy,10.1016/j.enpol.2020.111924,Article,2021,,Electricity tariff; New emission standards for coal power plants in India; NOx and PM10; Pollutant emission from power plants; Pollution control technology cost; SOx,2-s2.0-85094614743,,implication of emission regulation on cost and tariffs of coal based power plants in india a system modelling approach
Implications of municipal solid waste management on greenhouse gas emissions in Malaysia and the way forward,"Michel Devadoss P.S., Agamuthu P., Mehran S.B., Santha C., Fauziah S.H.",Waste Management,10.1016/j.wasman.2020.09.038,Article,2021,,Climate change; GHG emissions; IPCC 2006; MSW management; Recycling; SWOT analysis,2-s2.0-85092391825,MEDLINE:33059163,implications of municipal solid waste management on greenhouse gas emissions in malaysia and the way forward
Low carbon electricity system for India in 2030 based on multi-objective multi-criteria assessment,"Laha P., Chakraborty B.",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110356,Article,2021,,Energy scenarios; EnergyPLAN; EPLANopt; India; MOEA; Multi-metric sustainability criteria,2-s2.0-85091653397,,low carbon electricity system for india in 2030 based on multi objective multi criteria assessment
Modelling building energy consumption in China under different future scenarios,"Guo S., Yan D., Hu S., Zhang Y.",Energy,10.1016/j.energy.2020.119063,Article,2021,,Building energy consumption; Carbon emission; Climate change mitigation; Scenario analysis,2-s2.0-85093698624,,modelling building energy consumption in china under different future scenarios
"Novel framework for modelling the cadmium balance and accumulation in farmland soil in Zhejiang Province, East China: Sensitivity analysis, parameter optimisation, and forecast for 2050","Fu T., Zhao R., Hu B., Jia X., Wang Z., Zhou L., Huang M., Li Y., Shi Z.",Journal of Cleaner Production,10.1016/j.jclepro.2020.123674,Article,2021,,Cadmium; Farmland soil; Mass balance model; Model-independent parameter estimation; Parameter optimisation,2-s2.0-85089956796,,novel framework for modelling the cadmium balance and accumulation in farmland soil in zhejiang province east china sensitivity analysis parameter optimisation and forecast for 2050
Performance-based planning for sustainable cities. innovative approaches and practices in italy,Pultrone G.,"Smart Innovation, Systems and Technologies",10.1007/978-3-030-48279-4_41,Conference Paper,2021,,Mitigation and adaptation climate change; Performance-based planning (PBP); SDG 11 and New Urban Agenda,2-s2.0-85091298364,,performance based planning for sustainable cities innovative approaches and practices in italy
Reducing carbon dioxide emissions beyond 2030: Time to shift U.S. power-sector focus,"Anderson J., Rode D., Zhai H., Fischbeck P.",Energy Policy,10.1016/j.enpol.2020.111778,Article,2021,,Climate policy; CO2 emission-reduction strategy; Decarbonization electric power-sector; No-carbon electricity; Paris agreement,2-s2.0-85092746679,,reducing carbon dioxide emissions beyond 2030 time to shift u s power sector focus
